Wikidata label,wikidata ID,Project Gutenberg ID,Project Gutenberg title,
Le Père Goriot,Q240617,1237,Father Goriot,
Night and Day (Woolf novel),Q1610831,1245,Night and Day,
Anthem (novella),Q2743935,1250,Anthem,
The Three Musketeers,Q140527,1257,The Three Musketeers,
Twenty Years After,Q1639633,1259,Twenty Years After,
Jane Eyre,Q182961,1260,Jane Eyre: An Autobiography,
Lavender and Old Lace,Q17112373,1266,Lavender and Old Lace,
Kai Lung's Golden Hours,Q6347444,1267,Kai Lung's Golden Hours,
The Mysterious Island,Q471005,1268,The Mysterious Island,
The Soul of a Bishop,Q7765370,1269,The Soul of a Bishop,
Spoon River Anthology,Q461760,1280,Spoon River Anthology,
Salammbô,Q117182,1290,Salammbo,
The Virginian (novel),Q7772831,1298,The Virginian: A Horseman of the Plains,
Riders of the Purple Sage,Q3398694,1300,Riders of the Purple Sage,
The Waste Land,Q581458,1321,The Waste Land,
Elizabeth and Her German Garden,Q5363788,1327,Elizabeth and Her German Garden,
The Child of the Cavern,Q143707,1355,"The Underground City; Or, The Black Indies\•(Sometimes Called The Child of the Cavern)",
The Cloister and the Hearth,Q7723455,1366,The Cloister and the Hearth,
The Talisman (Scott novel),Q952340,1377,The Talisman,
Great Expectations,Q219552,1400,Great Expectations,
The Federalist Papers,Q858036,1404,The Federalist Papers,
No Thoroughfare,Q7045074,1423,No Thoroughfare,
Castle Rackrent,Q5050238,1424,Castle Rackrent,
Beautiful Stories from Shakespeare,Q4877815,1430,Beautiful Stories from Shakespeare,
Séraphîta,Q2543893,1432,Seraphita,
No Name (novel),Q7044605,1438,No Name,
Heidi,Q271697,1448,?,
The Valley of the Moon (novel),Q1174082,1449,The Valley of the Moon,
Pollyanna,Q2348190,1450,Pollyanna,
The Private Papers of Henry Ryecroft,Q17027661,1463,The Private Papers of Henry Ryecroft,
The Absentee,Q7712149,1473,The Absentee,
Chance (novel),Q793748,1476,Chance: A Tale in Two Parts,
Tom Brown's School Days,Q7815084,1480,Tom Brown's School Days,
The Rape of Lucrece,Q1398793,1505,?,
Le Contrat de mariage,Q2742935,1556,The Marriage Contract,
Men of Iron,Q6816281,1557,Men of Iron,
The Crystal Stopper,Q726902,1563,The Crystal Stopper,
